currency_pair,volume_24h,Last_price,Change_24h,High_24h,Low_24h
SHPING/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
GRX/BTC,0.00 BTC,0.00000005 BTC,0%,0 BTC,0 BTC
ZBC/BTC,0.00 BTC,0.00000016 BTC,0%,0 BTC,0 BTC
XRC/BTC,0.00 BTC,0.00000010 BTC,0%,0 BTC,0 BTC
MQM/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
DENT/BTC,0.00 BTC,0.00000003 BTC,0%,0 BTC,0 BTC
GIFT/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
BTCH/BTC,0.00 BTC,0.00000003 BTC,0%,0 BTC,0 BTC
XSCR/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
ABT/BTC,0.00 BTC,0.00001133 BTC,0%,0 BTC,0 BTC
VLTC/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
BTG/BTC,0.00 BTC,0.00098040 BTC,0%,0 BTC,0 BTC
MYCT/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
ROCKET/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
SNB/BTC,0.00 BTC,0.00001400 BTC,0%,0 BTC,0 BTC
UNC/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
BID/BTC,0.00 BTC,0.00042587 BTC,0%,0 BTC,0 BTC
ECOT/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
OCN/BTC,0.00 BTC,0.00000005 BTC,0%,0 BTC,0 BTC
WIN/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
TCT/BTC,0.00 BTC,0.00000003 BTC,0%,0 BTC,0 BTC
PUT/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
onLEXpa/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
DIG/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
MIN/BTC,0.00 BTC,0.00014243 BTC,0%,0 BTC,0 BTC
INS/BTC,0.00 BTC,0.00000000 BTC,0%,0 BTC,0 BTC
MAD/BTC,0.00 BTC,0.00000120 BTC,0%,0 BTC,0 BTC
CSE/BTC,0.00 BTC,0.00000440 BTC,0%,0 BTC,0 BTC
BLD/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
YVM/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
MOF/BTC,0.00 BTC,0.00002604 BTC,0%,0 BTC,0 BTC
LKE/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
KNZV/BTC,0.00 BTC,0.00013501 BTC,0%,0 BTC,0 BTC
ZB/BTC,0.00 BTC,0.00002457 BTC,0%,0 BTC,0 BTC
TEL/BTC,0.00 BTC,0.00000004 BTC,0%,0 BTC,0 BTC
HNR/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
VIU/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
SNBL/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
IEX/BTC,0.00 BTC,0.00000110 BTC,0%,0 BTC,0 BTC
LibraF/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
MEETONE/BTC,0.00 BTC,0.00000011 BTC,0%,0 BTC,0 BTC
NPXS/BTC,0.00 BTC,0.00000003 BTC,0%,0 BTC,0 BTC
ZAY/BTC,0.00 BTC,0.00000002 BTC,0%,0 BTC,0 BTC
CBR/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
QBT/BTC,0.00 BTC,0.00000005 BTC,0%,0 BTC,0 BTC
CPT/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
VOISE/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
DXR/BTC,0.00 BTC,0.00000000 BTC,0%,0 BTC,0 BTC
APOD/BTC,0.00 BTC,0.00000021 BTC,0%,0 BTC,0 BTC
ATF/BTC,0.00 BTC,0.00000000 BTC,0%,0 BTC,0 BTC
CLPC/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
SOF/BTC,0.00 BTC,0.00000018 BTC,0%,0 BTC,0 BTC
CBC/BTC,0.00 BTC,0.00000061 BTC,0%,0 BTC,0 BTC
SPA/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
TPX/BTC,0.00 BTC,0.00399996 BTC,0%,0 BTC,0 BTC
TCF/BTC,0.00 BTC,0.00000003 BTC,0%,0 BTC,0 BTC
GUIDE/BTC,0.00 BTC,0.00000524 BTC,0%,0 BTC,0 BTC
YOD/BTC,0.00 BTC,0.00009600 BTC,0%,0 BTC,0 BTC
TIB/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
BTSMD/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
REP/BTC,0.00 BTC,0.00201623 BTC,0%,0 BTC,0 BTC
SPT/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
DGX/BTC,0.00 BTC,0.00580001 BTC,0%,0 BTC,0 BTC
CREVA/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
GST/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
CPP/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
NAM/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
PISH/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
ANNE/BTC,0.00 BTC,0.00000002 BTC,0%,0 BTC,0 BTC
DMC/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
PANDA/BTC,0.00 BTC,0.00000002 BTC,0%,0 BTC,0 BTC
CVN/BTC,0.00 BTC,0.00000000 BTC,0%,0 BTC,0 BTC
XLAB/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
SEC/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
TVT/BTC,0.00 BTC,0.00000001 BTC,0%,0 BTC,0 BTC
BCD/BTC,0.00 BTC,0.00008945 BTC,0%,0 BTC,0 BTC
ROBO/BTC,0.00 BTC,0.00000003 BTC,0%,0 BTC,0 BTC
BSHORT/BTC,0.00 BTC,0.00091080 BTC,0%,0 BTC,0 BTC
