currency_pair,volume_24h,Last_price,Change_24h,High_24h,Low_24h
MNTP/BTC,0.03 BTC,0.00006206 BTC,-3.81%,0.00006697 BTC,0.0000606 BTC
JNB/BTC,0.03 BTC,0.01299999 BTC,0%,0.01299999 BTC,0.01299999 BTC
ECOREAL/BTC,0.03 BTC,0.00000523 BTC,-2.61%,0.00000541 BTC,0.00000514 BTC
BTM/BTC,0.03 BTC,0.00004402 BTC,-13.19%,0.00005071 BTC,0.00004289 BTC
TLC/BTC,0.03 BTC,0.00000552 BTC,4.94%,0.00000642 BTC,0.00000488 BTC
LOOM/BTC,0.03 BTC,0.00000240 BTC,-0.41%,0.00000246 BTC,0.00000231 BTC
STORJ/BTC,0.03 BTC,0.00001928 BTC,7.05%,0.00001942 BTC,0.00001777 BTC
DEX/BTC,0.03 BTC,0.00000084 BTC,0%,0.00000084 BTC,0.00000084 BTC
QASH/BTC,0.03 BTC,0.00000351 BTC,7.01%,0.00000357 BTC,0.00000326 BTC
CCRB/BTC,0.03 BTC,0.00000173 BTC,1.17%,0.00000176 BTC,0.00000168 BTC
TER/BTC,0.03 BTC,0.00000065 BTC,-2.99%,0.00000081 BTC,0.0000006 BTC
PRO/BTC,0.03 BTC,0.00001111 BTC,-0.36%,0.00001134 BTC,0.00001082 BTC
QBIT/BTC,0.03 BTC,0.00334900 BTC,1.82%,0.00335821 BTC,0.00328231 BTC
ECHO/BTC,0.03 BTC,0.00153215 BTC,-0.36%,0.00159954 BTC,0.00150191 BTC
KAPU/BTC,0.03 BTC,0.00000003 BTC,0%,0.00000003 BTC,0.00000003 BTC
RBIES/BTC,0.03 BTC,0.00000076 BTC,0%,0.00000076 BTC,0.00000075 BTC
ITI/BTC,0.03 BTC,0.00010967 BTC,-8.6%,0.00011999 BTC,0.00010912 BTC
BPTN/BTC,0.03 BTC,0.00000021 BTC,0%,0.00000021 BTC,0.00000021 BTC
PRES/BTC,0.03 BTC,0.00000025 BTC,0%,0.00000025 BTC,0.00000025 BTC
CVC/BTC,0.03 BTC,0.00000307 BTC,0.66%,0.00000309 BTC,0.00000299 BTC
PELO/BTC,0.03 BTC,0.00000041 BTC,0%,0.00000041 BTC,0.00000041 BTC
BSD/BTC,0.03 BTC,0.00000034 BTC,9.68%,0.00000036 BTC,0.00000031 BTC
AE/BTC,0.03 BTC,0.00001623 BTC,2.53%,0.0000166 BTC,0.0000157 BTC
COV/BTC,0.03 BTC,0.00002251 BTC,3.49%,0.00002284 BTC,0.00002043 BTC
ANT/BTC,0.03 BTC,0.00014497 BTC,-1.9%,0.00014875 BTC,0.00014457 BTC
INSN/BTC,0.03 BTC,0.00000038 BTC,-15.56%,0.00000045 BTC,0.00000036 BTC
HXX/BTC,0.03 BTC,0.00000837 BTC,-9.51%,0.0000094 BTC,0.0000076 BTC
BZX/BTC,0.03 BTC,0.00000025 BTC,-16.67%,0.00000036 BTC,0.00000016 BTC
MASH/BTC,0.03 BTC,0.00000002 BTC,0%,0.00000002 BTC,0.00000002 BTC
ODE/BTC,0.03 BTC,0.00000412 BTC,1.23%,0.00000426 BTC,0.00000399 BTC
CRC/BTC,0.03 BTC,0.00000732 BTC,-3.43%,0.00000791 BTC,0.00000732 BTC
MGO/BTC,0.03 BTC,0.00000085 BTC,-8.6%,0.00000098 BTC,0.00000085 BTC
ELF/BTC,0.03 BTC,0.00001117 BTC,3.91%,0.00001117 BTC,0.00001049 BTC
DAY/BTC,0.03 BTC,0.00001433 BTC,2.5%,0.00001456 BTC,0.00001389 BTC
ARTE/BTC,0.03 BTC,0.00000046 BTC,0%,0.00000046 BTC,0.00000046 BTC
BIT/BTC,0.03 BTC,0.00000027 BTC,0%,0.00000028 BTC,0.00000027 BTC
TFL/BTC,0.03 BTC,0.00004275 BTC,0.56%,0.00004397 BTC,0.00004231 BTC
ETHP/BTC,0.03 BTC,0.00000030 BTC,0%,0.00000032 BTC,0.0000003 BTC
SLOPPS/BTC,0.03 BTC,0.00000013 BTC,0%,0.00000014 BTC,0.00000013 BTC
EDG/BTC,0.03 BTC,0.00000083 BTC,0%,0.00000083 BTC,0.0000008 BTC
LUNA/BTC,0.03 BTC,0.00000038 BTC,0%,0.00000038 BTC,0.00000038 BTC
FORTYTWO/BTC,0.03 BTC,2.94999790 BTC,6.93%,2.9499979 BTC,2.72000001 BTC
SKCH/BTC,0.03 BTC,0.00000814 BTC,0.62%,0.00000818 BTC,0.00000799 BTC
INB/BTC,0.03 BTC,0.00004947 BTC,0.08%,0.00004965 BTC,0.00004924 BTC
EURN/BTC,0.03 BTC,0.00007741 BTC,-5.51%,0.00008287 BTC,0.00007741 BTC
ZMN/BTC,0.03 BTC,0.00000009 BTC,0%,0.00000009 BTC,0.00000009 BTC
MANA/BTC,0.03 BTC,0.00000432 BTC,-0.92%,0.00000438 BTC,0.00000432 BTC
CRBIT/BTC,0.03 BTC,0.00000003 BTC,0%,0.00000003 BTC,0.00000003 BTC
GRS/BTC,0.03 BTC,0.00002107 BTC,0.05%,0.00002132 BTC,0.00002048 BTC
PHI/BTC,0.03 BTC,0.00000582 BTC,0.69%,0.00000582 BTC,0.00000571 BTC
ARK/BTC,0.03 BTC,0.00003221 BTC,2.09%,0.00003302 BTC,0.00003137 BTC
OBITS/BTC,0.02 BTC,0.00000090 BTC,0%,0.00000092 BTC,0.00000083 BTC
THETA/BTC,0.02 BTC,0.00052601 BTC,-5.27%,0.00057799 BTC,0.00052601 BTC
JWL/BTC,0.02 BTC,0.00003313 BTC,0.3%,0.00003345 BTC,0.00003233 BTC
TGAME/BTC,0.02 BTC,0.00000019 BTC,0%,0.00000019 BTC,0.00000019 BTC
TKN/BTC,0.02 BTC,0.00003480 BTC,-2.93%,0.00003703 BTC,0.00003351 BTC
NET/BTC,0.02 BTC,0.00001864 BTC,-0.69%,0.00001891 BTC,0.00001861 BTC
MCR/BTC,0.02 BTC,0.00000273 BTC,-0.36%,0.0000028 BTC,0.00000266 BTC
NANO/BTC,0.02 BTC,0.00033148 BTC,-0.67%,0.00033602 BTC,0.00033083 BTC
BFF/BTC,0.02 BTC,0.00004680 BTC,0%,0.0000468 BTC,0.0000468 BTC
IDH/BTC,0.02 BTC,0.00000032 BTC,6.67%,0.00000032 BTC,0.0000003 BTC
OMG/BTC,0.02 BTC,0.00016191 BTC,0.32%,0.00016368 BTC,0.00015864 BTC
BTB/BTC,0.02 BTC,0.00019526 BTC,0.73%,0.00019629 BTC,0.00019301 BTC
FLIXX/BTC,0.02 BTC,0.00000143 BTC,-4.67%,0.00000152 BTC,0.00000142 BTC
MRPH/BTC,0.02 BTC,0.00001944 BTC,-4.52%,0.0000205 BTC,0.00001944 BTC
LTT/BTC,0.02 BTC,0.00000087 BTC,-2.25%,0.0000009 BTC,0.00000087 BTC
FLP/BTC,0.02 BTC,0.00000060 BTC,0%,0.00000062 BTC,0.00000057 BTC
ENT/BTC,0.02 BTC,0.00000010 BTC,0%,0.0000001 BTC,0.0000001 BTC
GNO/BTC,0.02 BTC,0.00282942 BTC,-0.42%,0.00299534 BTC,0.0027687 BTC
TWC/BTC,0.02 BTC,0.00000019 BTC,0%,0.00000019 BTC,0.00000019 BTC
BCZERO/BTC,0.02 BTC,0.00000029 BTC,0%,0.00000029 BTC,0.00000029 BTC
NOKU/BTC,0.02 BTC,0.00000385 BTC,-1.03%,0.0000039 BTC,0.00000385 BTC
WINGS/BTC,0.02 BTC,0.00000596 BTC,-9.15%,0.00000693 BTC,0.00000584 BTC
RST/BTC,0.02 BTC,0.00001599 BTC,-0.12%,0.00001626 BTC,0.00001477 BTC
EL/BTC,0.02 BTC,0.00000068 BTC,4.62%,0.00000069 BTC,0.00000064 BTC
MNC/BTC,0.02 BTC,0.00000063 BTC,5%,0.00000064 BTC,0.00000059 BTC
DTR/BTC,0.02 BTC,0.00000115 BTC,-0.86%,0.00000116 BTC,0.00000114 BTC
HB/BTC,0.02 BTC,0.00000017 BTC,0%,0.00000017 BTC,0.00000017 BTC
IOST/BTC,0.02 BTC,0.00000290 BTC,-4.92%,0.00000314 BTC,0.00000289 BTC
IMP/BTC,0.02 BTC,0.00000031 BTC,-18.42%,0.00000042 BTC,0.00000029 BTC
MTRc/BTC,0.02 BTC,0.00000008 BTC,0%,0.00000008 BTC,0.00000008 BTC
SXC/BTC,0.02 BTC,0.00000017 BTC,-5.56%,0.00000018 BTC,0.00000015 BTC
LDC/BTC,0.02 BTC,0.00000005 BTC,0%,0.00000005 BTC,0.00000005 BTC
DOLLAR/BTC,0.02 BTC,0.00001175 BTC,0.34%,0.0000118 BTC,0.00001165 BTC
MLN/BTC,0.02 BTC,0.00128697 BTC,2.47%,0.00131111 BTC,0.0012271 BTC
wETT/BTC,0.02 BTC,0.00000043 BTC,0%,0.00000043 BTC,0.00000042 BTC
LATX/BTC,0.02 BTC,0.00000016 BTC,0%,0.00000016 BTC,0.00000016 BTC
SCT/BTC,0.02 BTC,0.00000056 BTC,0%,0.00000056 BTC,0.00000055 BTC
SFX/BTC,0.02 BTC,0.00000102 BTC,5.15%,0.00000102 BTC,0.00000092 BTC
MOJO/BTC,0.02 BTC,0.00000012 BTC,0%,0.00000012 BTC,0.00000011 BTC
VRS/BTC,0.02 BTC,0.00000284 BTC,-0.35%,0.00000287 BTC,0.00000277 BTC
NOX/BTC,0.02 BTC,0.00000002 BTC,0%,0.00000002 BTC,0.00000002 BTC
JBY/BTC,0.02 BTC,0.00002021 BTC,-18.7%,0.00002486 BTC,0.00002001 BTC
TRST/BTC,0.02 BTC,0.00000049 BTC,-5.77%,0.00000053 BTC,0.00000049 BTC
MDC/BTC,0.02 BTC,0.00000005 BTC,-16.67%,0.00000006 BTC,0.00000005 BTC
VIEW/BTC,0.02 BTC,0.00000083 BTC,-2.35%,0.00000085 BTC,0.00000082 BTC
SLR/BTC,0.02 BTC,0.00000142 BTC,3.65%,0.00000145 BTC,0.00000135 BTC
TX/BTC,0.02 BTC,0.00000045 BTC,-2.17%,0.00000049 BTC,0.00000044 BTC
EOSDAC/BTC,0.02 BTC,0.00000013 BTC,0%,0.00000014 BTC,0.00000013 BTC
eETT/BTC,0.01 BTC,0.00000043 BTC,0%,0.00000043 BTC,0.00000042 BTC
SC/BTC,0.01 BTC,0.00000037 BTC,5.71%,0.00000037 BTC,0.00000035 BTC
GOLOS/BTC,0.01 BTC,0.00000015 BTC,0%,0.00000015 BTC,0.00000014 BTC
